time,P
20190220:0106,0.0
20190220:0206,0.0
20190220:0306,0.0
20190220:0406,0.0
20190220:0506,132.57
20190220:0606,349.89
20190220:0706,534.32
20190220:0806,664.12
20190220:0906,736.58
20190220:1006,752.57
20190220:1106,726.41
20190220:1206,641.98
20190220:1306,508.95
20190220:1406,316.75
20190220:1506,135.51
20190220:1606,0.0
20190220:1706,0.0
20190220:1806,0.0
20190220:1906,0.0
20190220:2006,0.0
20190220:2106,0.0
20190220:2206,0.0
20190220:2306,0.0
20190221:0006,0.0
20190221:0106,0.0
20190221:0206,0.0
20190221:0306,0.0
20190221:0406,0.0
20190221:0506,121.86
20190221:0606,225.58
20190221:0706,520.36
20190221:0806,656.86
20190221:0906,741.9
20190221:1006,765.51
20190221:1106,735.83
20190221:1206,617.99
20190221:1306,461.95
20190221:1406,338.93
20190221:1506,27.12
20190221:1606,0.0
20190221:1706,0.0
20190221:1806,0.0
20190221:1906,0.0
20190221:2006,0.0
20190221:2106,0.0
20190221:2206,0.0
20190221:2306,0.0
20190222:0006,0.0
20190222:0106,0.0
20190222:0206,0.0
20190222:0306,0.0
20190222:0406,0.0
20190222:0506,138.46
20190222:0606,361.33
20190222:0706,545.66
20190222:0806,665.38
20190222:0906,723.1
20190222:1006,696.26
20190222:1106,719.1
20190222:1206,613.41
20190222:1306,142.2
20190222:1406,338.39
20190222:1506,134.04
20190222:1606,0.0
20190222:1706,0.0
20190222:1806,0.0
20190222:1906,0.0
20190222:2006,0.0
20190222:2106,0.0
20190222:2206,0.0
