,dome_load_kw
2225,0.011243578643578597
2226,0.012122077922077916
2227,0.019278499278499422
2228,0.024226839826840072
2229,0.02191313131313145
2230,0.01734112554112561
2231,0.013681385281385324
2232,0.011786724386724338
2233,0.010809235209235083
2234,0.010372871572871513
2235,0.009651659451659422
2236,0.009430303030302947
2237,0.009240692640692562
2238,0.010098124098124023
2239,0.009434054834054862
2240,0.007720634920634854
2241,0.008692063492063421
2242,0.008505339105339134
2243,0.00904733044733034
2244,0.008561616161616157
2245,0.00910764790764788
2246,0.009335930735930628
2247,0.008446464646464676
2248,0.00915353535353529
2249,0.011243578643578597
2250,0.012122077922077916
2251,0.019278499278499422
2252,0.024226839826840072
2253,0.02191313131313145
2254,0.01734112554112561
2255,0.013681385281385324
2256,0.011786724386724338
2257,0.010809235209235083
2258,0.010372871572871513
2259,0.009651659451659422
2260,0.009430303030302947
2261,0.009240692640692562
2262,0.010098124098124023
2263,0.009434054834054862
2264,0.007720634920634854
2265,0.008692063492063421
2266,0.008505339105339134
2267,0.00904733044733034
2268,0.008561616161616157
2269,0.00910764790764788
2270,0.009335930735930628
2271,0.008446464646464676
2272,0.00915353535353529
2273,0.011243578643578597
2274,0.012122077922077916
2275,0.019278499278499422
2276,0.024226839826840072
2277,0.02191313131313145
2278,0.01734112554112561
2279,0.013681385281385324
2280,0.011786724386724338
2281,0.010809235209235083
2282,0.010372871572871513
2283,0.009651659451659422
2284,0.009430303030302947
2285,0.009240692640692562
2286,0.010098124098124023
2287,0.009434054834054862
2288,0.007720634920634854
2289,0.008692063492063421
2290,0.008505339105339134
2291,0.00904733044733034
2292,0.008561616161616157
2293,0.00910764790764788
2294,0.009335930735930628
2295,0.008446464646464676
2296,0.00915353535353529
2297,0.011243578643578597
2298,0.012122077922077916
2299,0.019278499278499422
2300,0.024226839826840072
2301,0.02191313131313145
2302,0.01734112554112561
2303,0.013681385281385324
2304,0.011786724386724338
2305,0.010809235209235083
2306,0.010372871572871513
2307,0.009651659451659422
2308,0.009430303030302947
2309,0.009240692640692562
2310,0.010098124098124023
2311,0.009434054834054862
2312,0.007720634920634854
2313,0.008692063492063421
2314,0.008505339105339134
2315,0.00904733044733034
2316,0.008561616161616157
2317,0.00910764790764788
2318,0.009335930735930628
2319,0.008446464646464676
2320,0.00915353535353529
2321,0.011243578643578597
2322,0.012122077922077916
2323,0.019278499278499422
2324,0.024226839826840072
2325,0.02191313131313145
2326,0.01734112554112561
2327,0.013681385281385324
2328,0.011786724386724338
2329,0.010809235209235083
2330,0.010372871572871513
2331,0.009651659451659422
2332,0.009430303030302947
2333,0.009240692640692562
2334,0.010098124098124023
2335,0.009434054834054862
2336,0.007720634920634854
2337,0.008692063492063421
2338,0.008505339105339134
2339,0.00904733044733034
2340,0.008561616161616157
2341,0.00910764790764788
2342,0.009335930735930628
2343,0.008446464646464676
2344,0.00915353535353529
2345,0.011243578643578597
2346,0.012122077922077916
2347,0.019278499278499422
2348,0.024226839826840072
2349,0.02191313131313145
2350,0.01734112554112561
2351,0.013681385281385324
2352,0.011786724386724338
2353,0.010809235209235083
2354,0.010372871572871513
2355,0.009651659451659422
2356,0.009430303030302947
2357,0.009240692640692562
2358,0.010098124098124023
2359,0.009434054834054862
2360,0.007720634920634854
2361,0.008692063492063421
2362,0.008505339105339134
2363,0.00904733044733034
2364,0.008561616161616157
2365,0.00910764790764788
2366,0.009335930735930628
2367,0.008446464646464676
2368,0.00915353535353529
2369,0.011243578643578597
2370,0.012122077922077916
2371,0.019278499278499422
2372,0.024226839826840072
2373,0.02191313131313145
2374,0.01734112554112561
2375,0.013681385281385324
2376,0.011786724386724338
2377,0.010809235209235083
2378,0.010372871572871513
2379,0.009651659451659422
2380,0.009430303030302947
2381,0.009240692640692562
2382,0.010098124098124023
2383,0.009434054834054862
2384,0.007720634920634854
2385,0.008692063492063421
2386,0.008505339105339134
2387,0.00904733044733034
2388,0.008561616161616157
2389,0.00910764790764788
2390,0.009335930735930628
2391,0.008446464646464676
2392,0.00915353535353529
2393,0.011243578643578597
2394,0.012122077922077916
2395,0.019278499278499422
2396,0.024226839826840072
2397,0.02191313131313145
2398,0.01734112554112561
2399,0.013681385281385324
2400,0.011786724386724338
2401,0.010809235209235083
2402,0.010372871572871513
2403,0.009651659451659422
2404,0.009430303030302947
2405,0.009240692640692562
2406,0.010098124098124023
2407,0.009434054834054862
2408,0.007720634920634854
2409,0.008692063492063421
2410,0.008505339105339134
2411,0.00904733044733034
2412,0.008561616161616157
2413,0.00910764790764788
2414,0.009335930735930628
2415,0.008446464646464676
2416,0.00915353535353529
2417,0.011243578643578597
2418,0.012122077922077916
2419,0.019278499278499422
2420,0.024226839826840072
2421,0.02191313131313145
2422,0.01734112554112561
2423,0.013681385281385324
2424,0.011786724386724338
2425,0.010809235209235083
2426,0.010372871572871513
2427,0.009651659451659422
2428,0.009430303030302947
2429,0.009240692640692562
2430,0.010098124098124023
2431,0.009434054834054862
2432,0.007720634920634854
2433,0.008692063492063421
2434,0.008505339105339134
2435,0.00904733044733034
2436,0.008561616161616157
2437,0.00910764790764788
2438,0.009335930735930628
2439,0.008446464646464676
2440,0.00915353535353529
2441,0.011243578643578597
2442,0.012122077922077916
2443,0.019278499278499422
2444,0.024226839826840072
2445,0.02191313131313145
2446,0.01734112554112561
2447,0.013681385281385324
2448,0.011786724386724338
2449,0.010809235209235083
2450,0.010372871572871513
2451,0.009651659451659422
2452,0.009430303030302947
2453,0.009240692640692562
2454,0.010098124098124023
2455,0.009434054834054862
2456,0.007720634920634854
2457,0.008692063492063421
2458,0.008505339105339134
2459,0.00904733044733034
2460,0.008561616161616157
2461,0.00910764790764788
2462,0.009335930735930628
2463,0.008446464646464676
2464,0.00915353535353529
2465,0.011243578643578597
2466,0.012122077922077916
2467,0.019278499278499422
2468,0.024226839826840072
2469,0.02191313131313145
2470,0.01734112554112561
2471,0.013681385281385324
2472,0.011786724386724338
2473,0.010809235209235083
2474,0.010372871572871513
2475,0.009651659451659422
2476,0.009430303030302947
2477,0.009240692640692562
2478,0.010098124098124023
2479,0.009434054834054862
2480,0.007720634920634854
2481,0.008692063492063421
2482,0.008505339105339134
2483,0.00904733044733034
2484,0.008561616161616157
2485,0.00910764790764788
2486,0.009335930735930628
2487,0.008446464646464676
2488,0.00915353535353529
2489,0.011243578643578597
2490,0.012122077922077916
2491,0.019278499278499422
2492,0.024226839826840072
2493,0.02191313131313145
2494,0.01734112554112561
2495,0.013681385281385324
2496,0.011786724386724338
2497,0.010809235209235083
2498,0.010372871572871513
2499,0.009651659451659422
2500,0.009430303030302947
2501,0.009240692640692562
2502,0.010098124098124023
2503,0.009434054834054862
2504,0.007720634920634854
2505,0.008692063492063421
2506,0.008505339105339134
2507,0.00904733044733034
2508,0.008561616161616157
2509,0.00910764790764788
2510,0.009335930735930628
2511,0.008446464646464676
2512,0.00915353535353529
2513,0.011243578643578597
2514,0.012122077922077916
2515,0.019278499278499422
2516,0.024226839826840072
2517,0.02191313131313145
2518,0.01734112554112561
2519,0.013681385281385324
2520,0.011786724386724338
2521,0.010809235209235083
2522,0.010372871572871513
2523,0.009651659451659422
2524,0.009430303030302947
2525,0.009240692640692562
2526,0.010098124098124023
2527,0.009434054834054862
2528,0.007720634920634854
2529,0.008692063492063421
2530,0.008505339105339134
2531,0.00904733044733034
2532,0.008561616161616157
2533,0.00910764790764788
2534,0.009335930735930628
2535,0.008446464646464676
2536,0.00915353535353529
2537,0.011243578643578597
2538,0.012122077922077916
2539,0.019278499278499422
2540,0.024226839826840072
2541,0.02191313131313145
2542,0.01734112554112561
2543,0.013681385281385324
2544,0.011786724386724338
2545,0.010809235209235083
2546,0.010372871572871513
2547,0.009651659451659422
2548,0.009430303030302947
2549,0.009240692640692562
2550,0.010098124098124023
2551,0.009434054834054862
2552,0.007720634920634854
2553,0.008692063492063421
2554,0.008505339105339134
2555,0.00904733044733034
2556,0.008561616161616157
2557,0.00910764790764788
2558,0.009335930735930628
2559,0.008446464646464676
2560,0.00915353535353529
2561,0.011243578643578597
2562,0.012122077922077916
2563,0.019278499278499422
2564,0.024226839826840072
2565,0.02191313131313145
2566,0.01734112554112561
2567,0.013681385281385324
2568,0.011786724386724338
2569,0.010809235209235083
2570,0.010372871572871513
2571,0.009651659451659422
2572,0.009430303030302947
2573,0.009240692640692562
2574,0.010098124098124023
2575,0.009434054834054862
2576,0.007720634920634854
2577,0.008692063492063421
2578,0.008505339105339134
2579,0.00904733044733034
2580,0.008561616161616157
2581,0.00910764790764788
2582,0.009335930735930628
2583,0.008446464646464676
2584,0.00915353535353529
2585,0.011243578643578597
2586,0.012122077922077916
2587,0.019278499278499422
2588,0.024226839826840072
2589,0.02191313131313145
2590,0.01734112554112561
2591,0.013681385281385324
2592,0.011786724386724338
2593,0.010809235209235083
2594,0.010372871572871513
2595,0.009651659451659422
2596,0.009430303030302947
2597,0.009240692640692562
2598,0.010098124098124023
2599,0.009434054834054862
2600,0.007720634920634854
2601,0.008692063492063421
2602,0.008505339105339134
2603,0.00904733044733034
2604,0.008561616161616157
2605,0.00910764790764788
2606,0.009335930735930628
2607,0.008446464646464676
2608,0.00915353535353529
2609,0.011243578643578597
2610,0.012122077922077916
2611,0.019278499278499422
2612,0.024226839826840072
2613,0.02191313131313145
2614,0.01734112554112561
2615,0.013681385281385324
2616,0.011786724386724338
2617,0.010809235209235083
2618,0.010372871572871513
2619,0.009651659451659422
2620,0.009430303030302947
2621,0.009240692640692562
2622,0.010098124098124023
2623,0.009434054834054862
2624,0.007720634920634854
2625,0.008692063492063421
2626,0.008505339105339134
2627,0.00904733044733034
2628,0.008561616161616157
2629,0.00910764790764788
2630,0.009335930735930628
2631,0.008446464646464676
2632,0.00915353535353529
2633,0.011243578643578597
2634,0.012122077922077916
2635,0.019278499278499422
2636,0.024226839826840072
2637,0.02191313131313145
2638,0.01734112554112561
2639,0.013681385281385324
2640,0.011786724386724338
2641,0.010809235209235083
2642,0.010372871572871513
2643,0.009651659451659422
2644,0.009430303030302947
2645,0.009240692640692562
2646,0.010098124098124023
2647,0.009434054834054862
2648,0.007720634920634854
2649,0.008692063492063421
2650,0.008505339105339134
2651,0.00904733044733034
2652,0.008561616161616157
2653,0.00910764790764788
2654,0.009335930735930628
2655,0.008446464646464676
2656,0.00915353535353529
2657,0.011243578643578597
2658,0.012122077922077916
2659,0.019278499278499422
2660,0.024226839826840072
2661,0.02191313131313145
2662,0.01734112554112561
2663,0.013681385281385324
2664,0.011786724386724338
2665,0.010809235209235083
2666,0.010372871572871513
2667,0.009651659451659422
2668,0.009430303030302947
2669,0.009240692640692562
2670,0.010098124098124023
2671,0.009434054834054862
2672,0.007720634920634854
2673,0.008692063492063421
2674,0.008505339105339134
2675,0.00904733044733034
2676,0.008561616161616157
2677,0.00910764790764788
2678,0.009335930735930628
2679,0.008446464646464676
2680,0.00915353535353529
2681,0.011243578643578597
2682,0.012122077922077916
2683,0.019278499278499422
2684,0.024226839826840072
2685,0.02191313131313145
2686,0.01734112554112561
2687,0.013681385281385324
2688,0.011786724386724338
2689,0.010809235209235083
2690,0.010372871572871513
2691,0.009651659451659422
2692,0.009430303030302947
2693,0.009240692640692562
2694,0.010098124098124023
2695,0.009434054834054862
2696,0.007720634920634854
2697,0.008692063492063421
2698,0.008505339105339134
2699,0.00904733044733034
2700,0.008561616161616157
2701,0.00910764790764788
2702,0.009335930735930628
2703,0.008446464646464676
2704,0.00915353535353529
2705,0.011243578643578597
2706,0.012122077922077916
2707,0.019278499278499422
2708,0.024226839826840072
2709,0.02191313131313145
2710,0.01734112554112561
2711,0.013681385281385324
2712,0.011786724386724338
2713,0.010809235209235083
2714,0.010372871572871513
2715,0.009651659451659422
2716,0.009430303030302947
2717,0.009240692640692562
2718,0.010098124098124023
2719,0.009434054834054862
2720,0.007720634920634854
2721,0.008692063492063421
2722,0.008505339105339134
2723,0.00904733044733034
2724,0.008561616161616157
2725,0.00910764790764788
2726,0.009335930735930628
2727,0.008446464646464676
2728,0.00915353535353529
2729,0.011243578643578597
2730,0.012122077922077916
2731,0.019278499278499422
2732,0.024226839826840072
2733,0.02191313131313145
2734,0.01734112554112561
2735,0.013681385281385324
2736,0.011786724386724338
2737,0.010809235209235083
2738,0.010372871572871513
2739,0.009651659451659422
2740,0.009430303030302947
2741,0.009240692640692562
2742,0.010098124098124023
2743,0.009434054834054862
2744,0.007720634920634854
2745,0.008692063492063421
2746,0.008505339105339134
2747,0.00904733044733034
2748,0.008561616161616157
2749,0.00910764790764788
2750,0.009335930735930628
2751,0.008446464646464676
2752,0.00915353535353529
2753,0.011243578643578597
2754,0.012122077922077916
2755,0.019278499278499422
2756,0.024226839826840072
2757,0.02191313131313145
2758,0.01734112554112561
2759,0.013681385281385324
2760,0.011786724386724338
2761,0.010809235209235083
2762,0.010372871572871513
2763,0.009651659451659422
2764,0.009430303030302947
