time,solar_po
2019-04-16 00:06:00+00:00,0
2019-04-16 01:06:00+00:00,0
2019-04-16 02:06:00+00:00,0
2019-04-16 03:06:00+00:00,0
2019-04-16 04:06:00+00:00,0.00461
2019-04-16 05:06:00+00:00,0.14546
2019-04-16 06:06:00+00:00,0.34871
2019-04-16 07:06:00+00:00,0.52977
2019-04-16 08:06:00+00:00,0.62282
2019-04-16 09:06:00+00:00,0.65668
2019-04-16 10:06:00+00:00,0.70562
2019-04-16 11:06:00+00:00,0.70776
2019-04-16 12:06:00+00:00,0.61518
2019-04-16 13:06:00+00:00,0.46506
2019-04-16 14:06:00+00:00,0.31228
2019-04-16 15:06:00+00:00,0.09517
2019-04-16 16:06:00+00:00,0
2019-04-16 17:06:00+00:00,0
2019-04-16 18:06:00+00:00,0
2019-04-16 19:06:00+00:00,0
2019-04-16 20:06:00+00:00,0
2019-04-16 21:06:00+00:00,0
2019-04-16 22:06:00+00:00,0
2019-04-16 23:06:00+00:00,0
2019-04-17 00:06:00+00:00,0
2019-04-17 01:06:00+00:00,0
2019-04-17 02:06:00+00:00,0
2019-04-17 03:06:00+00:00,0
2019-04-17 04:06:00+00:00,0.00129
2019-04-17 05:06:00+00:00,0.05512
2019-04-17 06:06:00+00:00,0.21548
2019-04-17 07:06:00+00:00,0.4963
2019-04-17 08:06:00+00:00,0.63904
2019-04-17 09:06:00+00:00,0.70501
2019-04-17 10:06:00+00:00,0.76893
2019-04-17 11:06:00+00:00,0.73197
2019-04-17 12:06:00+00:00,0.64619
2019-04-17 13:06:00+00:00,0.5015
2019-04-17 14:06:00+00:00,0.30268
2019-04-17 15:06:00+00:00,0.08997
2019-04-17 16:06:00+00:00,0
2019-04-17 17:06:00+00:00,0
2019-04-17 18:06:00+00:00,0
2019-04-17 19:06:00+00:00,0
2019-04-17 20:06:00+00:00,0
2019-04-17 21:06:00+00:00,0
2019-04-17 22:06:00+00:00,0
2019-04-17 23:06:00+00:00,0
2019-04-18 00:06:00+00:00,0
2019-04-18 01:06:00+00:00,0
2019-04-18 02:06:00+00:00,0
2019-04-18 03:06:00+00:00,0
2019-04-18 04:06:00+00:00,0.00518
2019-04-18 05:06:00+00:00,0.12143
2019-04-18 06:06:00+00:00,0.3634
2019-04-18 07:06:00+00:00,0.5405
2019-04-18 08:06:00+00:00,0.6545
2019-04-18 09:06:00+00:00,0.72334
2019-04-18 10:06:00+00:00,0.75052
2019-04-18 11:06:00+00:00,0.69337
2019-04-18 12:06:00+00:00,0.62377
2019-04-18 13:06:00+00:00,0.46503
2019-04-18 14:06:00+00:00,0.25801
2019-04-18 15:06:00+00:00,0.02899
2019-04-18 16:06:00+00:00,0
2019-04-18 17:06:00+00:00,0
2019-04-18 18:06:00+00:00,0
2019-04-18 19:06:00+00:00,0
2019-04-18 20:06:00+00:00,0
2019-04-18 21:06:00+00:00,0
2019-04-18 22:06:00+00:00,0
2019-04-18 23:06:00+00:00,0
2019-04-19 00:06:00+00:00,0
2019-04-19 01:06:00+00:00,0
2019-04-19 02:06:00+00:00,0
2019-04-19 03:06:00+00:00,0
2019-04-19 04:06:00+00:00,0
2019-04-19 05:06:00+00:00,0.13141
2019-04-19 06:06:00+00:00,0.37749
2019-04-19 07:06:00+00:00,0.54775
2019-04-19 08:06:00+00:00,0.65082
2019-04-19 09:06:00+00:00,0.72664
2019-04-19 10:06:00+00:00,0.75072
2019-04-19 11:06:00+00:00,0.7217
2019-04-19 12:06:00+00:00,0.63047
2019-04-19 13:06:00+00:00,0.4903
2019-04-19 14:06:00+00:00,0.29107
2019-04-19 15:06:00+00:00,0.05919
2019-04-19 16:06:00+00:00,0
2019-04-19 17:06:00+00:00,0
2019-04-19 18:06:00+00:00,0
2019-04-19 19:06:00+00:00,0
2019-04-19 20:06:00+00:00,0
2019-04-19 21:06:00+00:00,0
2019-04-19 22:06:00+00:00,0
2019-04-19 23:06:00+00:00,0
2019-04-20 00:06:00+00:00,0
2019-04-20 01:06:00+00:00,0
2019-04-20 02:06:00+00:00,0
2019-04-20 03:06:00+00:00,0
2019-04-20 04:06:00+00:00,0.00127
2019-04-20 05:06:00+00:00,0.16188
2019-04-20 06:06:00+00:00,0.3646
2019-04-20 07:06:00+00:00,0.53015
2019-04-20 08:06:00+00:00,0.64517
2019-04-20 09:06:00+00:00,0.70723
2019-04-20 10:06:00+00:00,0.7195
2019-04-20 11:06:00+00:00,0.69966
2019-04-20 12:06:00+00:00,0.60123
2019-04-20 13:06:00+00:00,0.45717
2019-04-20 14:06:00+00:00,0.29774
2019-04-20 15:06:00+00:00,0.08298
2019-04-20 16:06:00+00:00,0
2019-04-20 17:06:00+00:00,0
2019-04-20 18:06:00+00:00,0
2019-04-20 19:06:00+00:00,0
2019-04-20 20:06:00+00:00,0
2019-04-20 21:06:00+00:00,0
2019-04-20 22:06:00+00:00,0
2019-04-20 23:06:00+00:00,0
2019-04-21 00:06:00+00:00,0
2019-04-21 01:06:00+00:00,0
2019-04-21 02:06:00+00:00,0
2019-04-21 03:06:00+00:00,0
2019-04-21 04:06:00+00:00,0.00327
2019-04-21 05:06:00+00:00,0.16394
2019-04-21 06:06:00+00:00,0.35883
2019-04-21 07:06:00+00:00,0.52765
2019-04-21 08:06:00+00:00,0.64934
2019-04-21 09:06:00+00:00,0.71237
2019-04-21 10:06:00+00:00,0.73469
2019-04-21 11:06:00+00:00,0.70626
2019-04-21 12:06:00+00:00,0.61968
2019-04-21 13:06:00+00:00,0.474
2019-04-21 14:06:00+00:00,0.28289
2019-04-21 15:06:00+00:00,0.06462
2019-04-21 16:06:00+00:00,0
2019-04-21 17:06:00+00:00,0
2019-04-21 18:06:00+00:00,0
2019-04-21 19:06:00+00:00,0
2019-04-21 20:06:00+00:00,0
2019-04-21 21:06:00+00:00,0
2019-04-21 22:06:00+00:00,0
2019-04-21 23:06:00+00:00,0
2019-04-22 00:06:00+00:00,0
2019-04-22 01:06:00+00:00,0
2019-04-22 02:06:00+00:00,0
2019-04-22 03:06:00+00:00,0
2019-04-22 04:06:00+00:00,0.00323
2019-04-22 05:06:00+00:00,0.08286
2019-04-22 06:06:00+00:00,0.21002
2019-04-22 07:06:00+00:00,0.48727
2019-04-22 08:06:00+00:00,0.63952
2019-04-22 09:06:00+00:00,0.68896
2019-04-22 10:06:00+00:00,0.62978
2019-04-22 11:06:00+00:00,0.12384
2019-04-22 12:06:00+00:00,0.06744
2019-04-22 13:06:00+00:00,0.08997
2019-04-22 14:06:00+00:00,0.1461
2019-04-22 15:06:00+00:00,0.04125
2019-04-22 16:06:00+00:00,0
2019-04-22 17:06:00+00:00,0
2019-04-22 18:06:00+00:00,0
2019-04-22 19:06:00+00:00,0
2019-04-22 20:06:00+00:00,0
2019-04-22 21:06:00+00:00,0
2019-04-22 22:06:00+00:00,0
2019-04-22 23:06:00+00:00,0
2019-04-23 00:06:00+00:00,0
2019-04-23 01:06:00+00:00,0
2019-04-23 02:06:00+00:00,0
2019-04-23 03:06:00+00:00,0
2019-04-23 04:06:00+00:00,0.00325
2019-04-23 05:06:00+00:00,0.14159
2019-04-23 06:06:00+00:00,0.14086
2019-04-23 07:06:00+00:00,0.52162
2019-04-23 08:06:00+00:00,0.67099
2019-04-23 09:06:00+00:00,0.67683
2019-04-23 10:06:00+00:00,0.65924
2019-04-23 11:06:00+00:00,0.71453
2019-04-23 12:06:00+00:00,0.61881
2019-04-23 13:06:00+00:00,0.48621
2019-04-23 14:06:00+00:00,0.27593
2019-04-23 15:06:00+00:00,0.06375
2019-04-23 16:06:00+00:00,0
2019-04-23 17:06:00+00:00,0
2019-04-23 18:06:00+00:00,0
2019-04-23 19:06:00+00:00,0
2019-04-23 20:06:00+00:00,0
2019-04-23 21:06:00+00:00,0
2019-04-23 22:06:00+00:00,0
2019-04-23 23:06:00+00:00,0
2019-04-24 00:06:00+00:00,0
2019-04-24 01:06:00+00:00,0
2019-04-24 02:06:00+00:00,0
2019-04-24 03:06:00+00:00,0
2019-04-24 04:06:00+00:00,0.00273
2019-04-24 05:06:00+00:00,0.09641
2019-04-24 06:06:00+00:00,0.36215
2019-04-24 07:06:00+00:00,0.53273
2019-04-24 08:06:00+00:00,0.60087
2019-04-24 09:06:00+00:00,0.64152
2019-04-24 10:06:00+00:00,0.51497
2019-04-24 11:06:00+00:00,0.56556
2019-04-24 12:06:00+00:00,0.49036
2019-04-24 13:06:00+00:00,0.30898
2019-04-24 14:06:00+00:00,0.1569
2019-04-24 15:06:00+00:00,0.05571
2019-04-24 16:06:00+00:00,0
2019-04-24 17:06:00+00:00,0
2019-04-24 18:06:00+00:00,0
2019-04-24 19:06:00+00:00,0
